synth_bmi,synth_age,scores_baseline,scores_aged,scores_hibmi
0.5152610000972477,0.391985964993988,6,1,5
0.4286158798359205,0.3535042453542032,4,4,4
0.4039461377632452,0.49885366056924846,4,6,4
0.4832331080844768,0.038391103714043195,4,4,3
0.35227243928080326,0.43957116227437476,6,4,3
0.6577055594982151,0.4010825623141171,3,2,1
0.39639509497470005,0.41251835016834326,4,4,4
0.3908172342969905,0.3323558234136593,4,4,4
0.4531152471563165,0.19860209259460787,4,4,3
0.47922072417276695,0.028435246856117702,4,4,1
0.5476154401859382,0.45900015626053275,4,1,5
0.31327860964481674,0.2249973934629107,2,4,4
0.49576760274944515,0.07048482505850062,4,4,3
0.3833787993280779,0.5067466861593227,6,1,4
0.3680209099035067,0.3224852285507763,4,1,2
0.40296030662170407,0.3563504593695612,4,4,6
0.5579277713737889,0.692439696729334,3,1,6
0.4980229258888218,0.28933215452721733,6,4,1
0.45057370129589164,0.7102158518317995,4,1,3
0.46473835009092573,0.34951526255125176,4,6,3
0.4301823360810057,0.46938281926307773,4,6,3
0.37088031250949977,0.2857064690217692,4,5,4
0.3978579291361676,0.49150250410138474,4,4,3
0.38095938663249185,0.32258900795073603,2,4,3
0.4898709925603042,0.4645619525707365,4,6,3
0.31830222273285946,0.2851460515337547,4,4,4
0.43655622934358473,0.48012930994978686,4,4,6
0.4851343957344869,0.397986894170792,4,4,3
0.46160942784583125,0.8883329924470345,4,6,1
0.45070019282890506,0.17635376857475618,7,4,4
0.5549150293399718,0.24931994314305772,1,3,5
0.5270953316121648,0.8492849600265955,1,1,1
0.4662163052140901,0.30991772287421543,4,4,3
0.3479094475593157,0.46935836901970457,1,6,4
0.3732459834998338,0.321488141362719,4,1,4
0.48147094510461397,0.6670354676897128,4,6,3
0.48541952238032277,0.5653025635016679,4,4,2
0.518545922734772,0.4776838399895702,4,4,3
0.38307926569038153,0.4325512500278499,6,4,2
0.7274554850369911,0.5485506104361062,1,2,1
0.3556741698053347,0.5329603354347469,4,6,2
0.5795373597314828,0.5122338760821218,6,3,3
0.42740455288992635,0.251708690178865,4,6,1
0.4459130291996876,0.47011891830664554,2,1,3
0.45615008070126245,0.6898329312244678,6,1,6
0.53227384159551,0.255052099104768,4,4,3
0.4297717240027368,0.5389902876190454,6,4,2
0.3673192062718764,0.08678710980449905,4,4,1
0.4798525250841793,0.1680268607980993,4,4,3
0.3639056173755107,0.41170292605977044,4,4,4
0.4975403191761326,0.524774089439661,4,6,6
0.3213396456065105,0.18514582044168937,4,3,1
0.5176461800875658,1.0,1,1,1
0.5781704019600393,0.5585875869545608,6,6,2
0.3742277640366406,0.3384202726948362,4,4,1
0.8145460327666758,0.10340359149161582,2,2,2
